categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educación Superior,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,El juego como estrategia didáctica para la comprensión lectora en niños de ocho años,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Web Platform for the Predictive Analysis of StudentDropout in a Higher Education Institution in LatinAmerica,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,"Geogebra and Phet: Support Tools for Learning Mathematics in a Secondary School Located in a Rural Area of Antioquia, Colombia",2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Artículo,Promotion of Sustainable Development Strategies: A Systematic Implementation Analysis in Organizations and Higher Education Institutions,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Capítulos de libro,Aplicando Design Thinking y prácticas de Ingeniería de Software en el diseño de un Sistema de Abasto: caso IMSS,2020
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Software,PLATAFORMA WEB PARA EL ANÁLISIS PREDICTIVO DE LA DESERCIÓN ESTUDIANTIL UNAC,2023
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Software,COSCO: Plataforma para comercialización de productos agrícolas,2023
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Software,Prototipo de un sistema de alerta temprana de deserción desde el proceso de admisión de aspirantes de la facultad de ingeniería en la UNAC,2022
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Software,Plataforma para la gestión de proyectos integradores del programa de ingeniería de sistemas de la corporación universitaria adventista,2022
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Innovación de proceso o procedimiento,PROTOTIPO DE UN SISTEMA DE ALERTA TEMPRANA DE DESERCIÓN DESDE EL PROCESO DE ADMISIÓN DE ASPIRANTES DE LA FACULTAD DE INGENIERÍA EN LA UNAC,2023
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Innovación de proceso o procedimiento,UN MARCO DE TRABAJO PARA EVALUAR Y REPORTAR LA SOSTENIBILIDAD EN INSTITUCIONES DE EDUCACIÓN SUPERIOR,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Innovación de proceso o procedimiento,PLATAFORMA WEB PARA EL ANÁLISIS PREDICTIVO DE LA DESERCIÓN ESTUDIANTIL EN UNA INSTITUCIÓN DE EDUCACIÓN SUPERIOR EN AMÉRICA LATINA,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación desarrollo e Innovación,Investigacion; desarrollo e Innovacion,2022
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación desarrollo e Innovación,Investigacion; desarrollo e Innovacion,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación y desarrollo,Modelo explicativo multivariable para conocer las causas de desercion estudiantil,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación desarrollo e Innovación,Investigacion; desarrollo e Innovacion,2019
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación y desarrollo,Camino hacia una universidad sostenible,2023
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación y desarrollo,PROYECTO STEM DE LA EDUCACION MEDIA 2.0,2024
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación y desarrollo,Estrategia para mejorar la adopcion de Kanban en equipos de desarrollo de software utilizando gamificacion,2025
Investigador Junior,Saray Galeano Ospino,Femenino,Maestría,Investigación y desarrollo,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educacion Superior,2025
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,Multivariate Analysis of Determinant Factors in Student Dropout at the Adventist University Corporation Colombia Corporación Universitaria Adventista,2024
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,MODELO PREDICTIVO USANDO MINERÍA DE DATOS PARA GESTIÓN DE LA DESERCIÓN ESTUDIANTIL EN LA CORPORACIÓN UNIVERSITARIA ADVENTISTA Corporación Universitaria Adventista,2022
Investigador Junior,Jaime Blanco Lopez,Masculino,Doctorado,Trabajo dirigido de grado de pregrado,"Improvement in The Analysis, Export and Dissemination of Digital Ionograms to an Open Scientific Data Repository from The IPS-42 Probe Corporación Universitaria Adventista",2021
